"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.94205222162092, 12.93856955778438, 0.0034826638365395013), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.033939832962178, 13.041223128518123, -0.007283295555945202), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
"((12.946690231916469, 12.938243641856241, 0.008446590060227521), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.48534, 1.00465], [1.58619, 1.00606]])"
"((13.038978187016083, 13.0408669730648, -0.001888786048716895), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60954, 1.00649]])"
