"((23.98776943740863, 25.358425432812744, -1.370655995404114), [[1.58619, 1.00606], [1.59875, 1.00992], [1.54457, 1.00776], [1.51982, 1.00578], [1.61727, 1.00636]])"
"((23.72900783101516, 24.969704242047698, -1.2406964110325376), [[1.58619, 1.00606], [1.61506, 1.01054], [1.54457, 1.00776], [1.49514, 1.00407], [1.61503, 1.00604]])"
"((24.458510082799613, 25.796876405869824, -1.3383663230702112), [[1.58619, 1.00606], [1.55519, 1.00665], [1.57723, 1.00902], [1.50592, 1.00552], [1.61503, 1.00604]])"
"((23.781284654882455, 25.3103238966197, -1.5290392417372445), [[1.56101, 1.00594], [1.5204, 1.00668], [1.61503, 1.01056], [1.49514, 1.00407], [1.66578, 1.00854]])"
"((23.80303207828561, 25.308546999327085, -1.505514921041474), [[1.56101, 1.00594], [1.5204, 1.00668], [1.61506, 1.01054], [1.49514, 1.00407], [1.66578, 1.00854]])"
"((29.936096755999966, 33.173486824665275, -3.2373900686653094), [[1.60008, 1.00622], [1.48535, 1.00466], [1.59875, 1.00992], [1.61506, 1.01054], [1.60714, 1.00656]])"
"((26.21975895639074, 28.163219522981056, -1.9434605665903142), [[1.60008, 1.00622], [1.54965, 1.00561], [1.59875, 1.00992], [1.5204, 1.00668], [1.61727, 1.00636]])"
"((24.894150164085964, 26.616562061604633, -1.7224118975186684), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.49867, 1.00593], [1.58399, 1.00622]])"
"((25.73082820674781, 27.567015818198325, -1.8361876114505158), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.73616675916266, 27.563386273680237, -1.8272195145175765), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.50592, 1.00552], [1.58618, 1.00607]])"
"((27.348813053537242, 29.75691018482203, -2.408097131284787), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61503, 1.01056], [1.55519, 1.00665], [1.60954, 1.00649]])"
"((24.9133069648131, 26.615013907250674, -1.7017069424375748), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.49867, 1.00593], [1.58399, 1.00622]])"
"((25.420257404547687, 27.211172033197133, -1.7909146286494462), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.49867, 1.00593], [1.58299, 1.00622]])"
"((25.751486765977308, 27.56534062482394, -1.813853858846631), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58619, 1.00606]])"
"((25.756833891774853, 27.56171152068782, -1.8048776289129655), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.50592, 1.00552], [1.58618, 1.00607]])"
"((27.373725785371494, 29.75481813480657, -2.3810923494350753), [[1.60008, 1.00622], [1.49552, 1.00497], [1.61506, 1.01054], [1.55519, 1.00665], [1.60954, 1.00649]])"
"((25.00500206708227, 26.656221947457833, -1.6512198803755638), [[1.60008, 1.00622], [1.56949, 1.00633], [1.59875, 1.00992], [1.48535, 1.00466], [1.61503, 1.00604]])"
"((25.774448403209586, 27.551912640076566, -1.7774642368669795), [[1.60008, 1.00622], [1.53721, 1.00588], [1.61503, 1.01056], [1.4848, 1.00388], [1.60954, 1.00649]])"
"((25.796339552545692, 27.55013956582487, -1.7538000132791787), [[1.60008, 1.00622], [1.53721, 1.00588], [1.61506, 1.01054], [1.4848, 1.00388], [1.60954, 1.00649]])"
"((24.882954740829728, 26.54630343454864, -1.6633486937189126), [[1.60008, 1.00622], [1.5443, 1.00661], [1.59875, 1.00992], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((25.33177907140195, 26.99511862682277, -1.6633395554208192), [[1.60008, 1.00622], [1.5443, 1.00661], [1.59875, 1.00992], [1.50592, 1.00552], [1.60714, 1.00656]])"
"((26.34837902394591, 28.237429863676535, -1.8890508397306256), [[1.60008, 1.00622], [1.5204, 1.00668], [1.59875, 1.00992], [1.54965, 1.00561], [1.60954, 1.00649]])"
"((24.68508017394059, 26.184500823261338, -1.4994206493207471), [[1.60008, 1.00622], [1.5204, 1.00668], [1.59875, 1.00992], [1.49552, 1.00497], [1.58399, 1.00622]])"
"((26.57188029779138, 28.57559525574182, -2.0037149579504394), [[1.60008, 1.00622], [1.54457, 1.00776], [1.57723, 1.00902], [1.57631, 1.00683], [1.61727, 1.00636]])"
"((25.190195692134285, 26.941251888074365, -1.7510561959400803), [[1.60008, 1.00622], [1.61503, 1.01056], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((29.492904634838993, 33.02889674478817, -3.535992109949177), [[1.60008, 1.00622], [1.59875, 1.00992], [1.57723, 1.00902], [1.60157, 1.00865], [1.66578, 1.00854]])"
"((25.20218895742935, 26.940312870338172, -1.7381239129088222), [[1.60008, 1.00622], [1.61506, 1.01054], [1.54457, 1.00776], [1.5443, 1.00661], [1.61727, 1.00636]])"
"((27.44850924869799, 29.924513311276524, -2.4760040625785322), [[1.61727, 1.00636], [1.56949, 1.00633], [1.61503, 1.01056], [1.49867, 1.00593], [1.60714, 1.00656]])"
"((27.4733644314006, 29.922416556904125, -2.449052125503524), [[1.61727, 1.00636], [1.56949, 1.00633], [1.61506, 1.01054], [1.49867, 1.00593], [1.60714, 1.00656]])"
"((27.41202174599895, 29.90234441540113, -2.4903226694021825), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.52963859592415, 29.988233347788462, -2.458594751864311), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((26.520369983953078, 28.752565489007235, -2.2321955050541575), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61503, 1.01056], [1.50592, 1.00552], [1.60954, 1.00649]])"
"((27.43696880525176, 29.900237658357035, -2.4632688531052764), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.50854, 1.00561], [1.60954, 1.00649]])"
"((27.55446460812163, 29.986142228460036, -2.431677620338405), [[1.61727, 1.00636], [1.56575, 1.00649], [1.61506, 1.01054], [1.49867, 1.00593], [1.60414, 1.00668]])"
"((28.546030211418206, 31.19462946460988, -2.648599253191673), [[1.61727, 1.00636], [1.57631, 1.00683], [1.59875, 1.00992], [1.5443, 1.00661], [1.61503, 1.00604]])"
"((27.58376749069126, 30.133192325035647, -2.5494248343443857), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61503, 1.01056], [1.53721, 1.00588], [1.60714, 1.00656]])"
"((27.60894943206771, 30.131059658034744, -2.522110225967033), [[1.61727, 1.00636], [1.5443, 1.00661], [1.61506, 1.01054], [1.53721, 1.00588], [1.60714, 1.00656]])"
